"concentration","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.04548e-01,1,2.91000e-01,2.91000e-01,5.15000e-01,0.00000e+00
3.04422e-01,1,2.92000e-01,2.92000e-01,5.15000e-01,0.00000e+00
3.04296e-01,1,2.93000e-01,2.93000e-01,5.15000e-01,0.00000e+00
3.04170e-01,1,2.94000e-01,2.94000e-01,5.15000e-01,0.00000e+00
3.04046e-01,1,2.95000e-01,2.95000e-01,5.15000e-01,0.00000e+00
3.03921e-01,1,2.96000e-01,2.96000e-01,5.15000e-01,0.00000e+00
3.03798e-01,1,2.97000e-01,2.97000e-01,5.15000e-01,0.00000e+00
3.03674e-01,1,2.98000e-01,2.98000e-01,5.15000e-01,0.00000e+00
3.03552e-01,1,2.99000e-01,2.99000e-01,5.15000e-01,0.00000e+00
3.03430e-01,1,3.00000e-01,3.00000e-01,5.15000e-01,0.00000e+00
3.03308e-01,1,3.01000e-01,3.01000e-01,5.15000e-01,0.00000e+00
3.03187e-01,1,3.02000e-01,3.02000e-01,5.15000e-01,0.00000e+00
3.03067e-01,1,3.03000e-01,3.03000e-01,5.15000e-01,0.00000e+00
3.02947e-01,1,3.04000e-01,3.04000e-01,5.15000e-01,0.00000e+00
3.02827e-01,1,3.05000e-01,3.05000e-01,5.15000e-01,0.00000e+00
3.02709e-01,1,3.06000e-01,3.06000e-01,5.15000e-01,0.00000e+00
3.02590e-01,1,3.07000e-01,3.07000e-01,5.15000e-01,0.00000e+00
3.02472e-01,1,3.08000e-01,3.08000e-01,5.15000e-01,0.00000e+00
3.02355e-01,1,3.09000e-01,3.09000e-01,5.15000e-01,0.00000e+00
3.02238e-01,1,3.10000e-01,3.10000e-01,5.15000e-01,0.00000e+00
3.02122e-01,1,3.11000e-01,3.11000e-01,5.15000e-01,0.00000e+00
3.02006e-01,1,3.12000e-01,3.12000e-01,5.15000e-01,0.00000e+00
3.01891e-01,1,3.13000e-01,3.13000e-01,5.15000e-01,0.00000e+00
3.01777e-01,1,3.14000e-01,3.14000e-01,5.15000e-01,0.00000e+00
3.01664e-01,1,3.15000e-01,3.15000e-01,5.15000e-01,0.00000e+00
